Model Name;More Info;Years;Cost;Production;Engine;Power;Torque;0-60 mph;Top Speed;Engine displacement;Engine configuration;Start Year;Power BHP;Top Speed [km/h];Torque [Nm];Cylinder count
Ferrari 166 Inter;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-166-inter/;1948 - 1950;;38 units;2,0 L Colombo V12;110 bhp @ 6,000 rpm;N/A;N/A;106 mph;2;V12;1948;110;170,59;;12
Ferrari 195 Inter;https://www.supercars.net/blog/category/brand/ferrari/ferrari-195-inter;1950 - 1951;;28 units;2,3 L Colombo V12;130 bhp @ 6000 rpm;N/A;N/A;112 mph;2,3;V12;1950;130;180,25;;12
Ferrari 212 Inter;https://www.supercars.net/blog/category/brand/ferrari/ferrari-212-inter;1951 - 1952;;82 units;2,6 L Colombo V12;150 bhp @ 6500 rpm;N/A;N/A;112 mph;2,6;V12;1951;150;180,25;;12
Ferrari 212 Export;https://www.supercars.net/blog/category/brand/ferrari/ferrari-sports-prototypes/212-export/;1951 - 1952;;27 units;2,6 L Colombo V12;150 bhp @ 6500 rpm;N/A;~9.0 seconds;115 mph;2,6;V12;1951;150;185,07;;12
Ferrari 342 America;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-america/ferrari-342-america/;1952;;23 units;4,1 L Lampredi V12;200 bhp @ 5000 rpm;N/A;N/A;116 mph;4,1;V12;1952;200;186,68;;12
Ferrari 375 America;https://www.supercars.net/blog/category/brand/ferrari/ferrari-375-america/;1953 - 1954;;12 units;4,5 L Lampredi V12;300 bhp @ 6300 rpm;N/A;N/A;155 mph;4,5;V12;1953;300;249,45;;12
Ferrari 410 Superamerica I;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-america/ferrari-410-superamerica/;1955;;35 (410 total);5,0 L Lampredi V12;340 bhp @ 6000 rpm;N/A;~ 6.0 seconds;150 mph;5;V12;1955;340;241,40;;12
Ferrari 410 Superamerica II;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-america/ferrari-410-superamerica/;1956 - 1957;;35 (410 total);5,0 L Lampredi V12;360 bhp @ 7600 rpm;N/A;~ 6.0 seconds;150 mph;5;V12;1956;360;241,40;;12
Ferrari 410 Superamerica III;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-america/ferrari-410-superamerica/;1958 - 1959;;35 (410 total);5,0 L Lampredi V12;380 bhp @ 7600 rpm;N/A;~ 6.0 seconds;150 mph;5;V12;1958;380;241,40;;12
Ferrari 250 Europa;https://www.supercars.net/blog/category/brand/ferrari/ferrari-250-europa;1953;;21;3,0 L Lampredi V12;200 bhp @ 6,300 rpm;N/A;5.9 seconds;135 mph;3;V12;1953;200;217,26;;12
Ferrari 250 Europa GT;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-europa-gt/;1954 - 1955;;35 units;3,0 L Lampredi V12;217 hp @ 7000 rpm;193 lb/ft @ 5000 rpm;N/A;143 mph;3;V12;1954;217;230,14;261,67;12
Ferrari 250 GT Coupé (Boano);https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-gt-boano-and-ellena/;1955 - 1957;;65 units;3,0 L Colombo V12;240 bhp @ 7000 rpm;193 lb/ft @ 5000 rpm;5.9 seconds;125 mph;3;V12;1955;240;201,17;261,67;12
Ferrari 250 GT Coupé (Ellena);https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-gt-boano-and-ellena/;1957 - 1958;;50 units;3,0 L Colombo V12;240 bhp @ 7000 rpm;193 lb/ft @ 5000 rpm;5.9 seconds;125 mph;3;V12;1957;240;201,17;261,67;12
Ferrari 250 GT Coupé;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-gt-coupe/;1958 - 1960;;353 units;3,0 L Colombo V12;240 bhp @ 7000 rpm;193 lb/ft @ 5000 rpm;5.9 seconds;125 mph;3;V12;1958;240;201,17;261,67;12
Ferrari 250 GT Berlinetta (Tdf);https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250-berlinetta/;1956 - 1963;;77 units;3,0 L Colombo V12;240 bhp @ 7000 rpm;193 lb/ft @ 5000 rpm;5.2 seconds;150 mph;3;V12;1956;240;241,40;261,67;12
