,Model Name,More Info,Years,Production,Engine,Power,Torque,0-60 mph,Top Speed
0,Ferrari 166 Inter,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-166-inter/,1948 - 1950,38 units,2.0 L Colombo V12,"110 bhp @ 6,000 rpm",N/A,N/A,106 mph
1,Ferrari 195 Inter,https://www.supercars.net/blog/category/brand/ferrari/ferrari-195-inter,1950 - 1951,28 units,2.3 L Colombo V12,130 bhp @ 6000 rpm,N/A,N/A,112 mph
2,Ferrari 212 Inter,https://www.supercars.net/blog/category/brand/ferrari/ferrari-212-inter,1951 - 1952,82 units,2.6 L Colombo V12,150 bhp @ 6500 rpm,N/A,N/A,112 mph
3,Ferrari 212 Export,https://www.supercars.net/blog/category/brand/ferrari/ferrari-sports-prototypes/212-export/,1951 - 1952,27 units,2.6 L Colombo V12,150 bhp @ 6500 rpm,N/A,~9.0 seconds,115 mph
4,Ferrari 342 America,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-america/ferrari-342-america/,1952,23 units,4.1 L Lampredi V12,200 bhp @ 5000 rpm,N/A,N/A,116 mph
5,Ferrari 375 America,https://www.supercars.net/blog/category/brand/ferrari/ferrari-375-america/,1953 - 1954,12 units,4.5 L Lampredi V12,300 bhp @ 6300 rpm,N/A,N/A,155 mph
6,Ferrari 410 Superamerica I,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-america/ferrari-410-superamerica/,1955,35 (410 total),5.0 L Lampredi V12,340 bhp @ 6000 rpm,N/A,~ 6.0 seconds,150 mph
7,Ferrari 410 Superamerica II,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-america/ferrari-410-superamerica/,1956 - 1957,35 (410 total),5.0 L Lampredi V12,360 bhp @ 7600 rpm,N/A,~ 6.0 seconds,150 mph
8,Ferrari 410 Superamerica III,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-america/ferrari-410-superamerica/,1958 - 1959,35 (410 total),5.0 L Lampredi V12,380 bhp @ 7600 rpm,N/A,~ 6.0 seconds,150 mph
9,Ferrari 250 Europa,https://www.supercars.net/blog/category/brand/ferrari/ferrari-250-europa,1953,21,3.0 L Lampredi V12,"200 bhp @ 6,300 rpm",N/A,5.9 seconds,135 mph
10,Ferrari 250 Europa GT,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-europa-gt/,1954 - 1955,35 units,3.0 L Lampredi V12,217 hp @ 7000 rpm,193 lb/ft @ 5000 rpm,N/A,143 mph
11,Ferrari 250 GT Coupé (Boano),https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-gt-boano-and-ellena/,1955 - 1957,65 units,3.0 L Colombo V12,240 bhp @ 7000 rpm,193 lb/ft @ 5000 rpm,5.9 seconds,125 mph
12,Ferrari 250 GT Coupé (Ellena),https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-gt-boano-and-ellena/,1957 - 1958,50 units,3.0 L Colombo V12,240 bhp @ 7000 rpm,193 lb/ft @ 5000 rpm,5.9 seconds,125 mph
13,Ferrari 250 GT Coupé,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-gt-coupe/,1958 - 1960,353 units,3.0 L Colombo V1,240 bhp @ 7000 rpm,193 lb/ft @ 5000 rpm,5.9 seconds,125 mph
14,Ferrari 250 GT Berlinetta (Tdf),https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250-berlinetta/,1956 - 1963,77 units,3.0 L Colombo V12,240 bhp @ 7000 rpm,193 lb/ft @ 5000 rpm,5.2 seconds,150 mph
15,Ferrari 250 GT Cabriolet Series I,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-gt-cabriolet/ferrari-250-gt-cabriolet-pininfarina-series-i/,1957 - 1959,36 units,3.0 L Colombo V12,240 bhp @ 7000 rpm,195 lb/ft @ 5000 rpm,7.1 seconds,149 mph
16,Ferrari 250 GT California LWB,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-gt-california-spyder-lwb/,1958 - 1960,50 units,3.0 L Colombo V12,240 bhp @ 7000 rpm,195 lb/ft @ 5000 rpm,6.5 seconds,145 mph
17,250 GT Cabriolet Series II,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-gt-cabriolet/ferrari-250-gt-cabriolet-pininfarina-series-ii/,1959 - 1962,200 units,3.0 L Colombo V12,240 bhp @ 7000 rpm,195 lb/ft @ 5000 rpm,7.1 seconds,149 mph
18,Ferrari 250 GT California SWB,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-gt-california-spyder-swb/,1960 - 1963,58 units,3.0 L Colombo V12,240 bhp @ 7000 rpm,195 lb/ft @ 5000 rpm,6.5 seconds,145 mph
19,Ferrari 250 GT 2+2 (GT/E),https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-gt-22/,1960 - 1963,"~1,000 units",3.0 L Colombo V12,240 bhp @ 7000 rpm,181 lb/ft @ 5000 rpm,8.0 seconds,140 mph
20,"Ferrari 250 GT Berlinetta ""Interim",https://www.supercars.net/blog/category/brand/ferrari/ferrari-250-gt-berlinetta-interim/,1959,7 units,3.0 L Colombo V12,240 bhp @ 7000 rpm,193 lb/ft @ 5000 rpm,5.2 seconds,150mph
21,Ferrari 250 GT SWB Berlinetta ‘Lusso’,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-gt-berlinetta-swb/,1960 - 1962,176 (inc. racing),3.0 L Colombo V12,"240 hp @ 7,500 rpm",215 lb/ft @ 5500 rpm,5.2 seconds,150 mph
22,Ferrari 250 GT Berlinetta Lusso,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-gt-berlinetta-lusso/,1962 - 1964,351 units,3.0 L Colombo V12,"240 hp @ 7,500 rpm",215 lb/ft @ 5500 rpm,5.2 seconds,150 mph
23,Ferrari 250 GTO,https://www.supercars.net/blog/category/brand/ferrari/ferrari-250-gto,1962 - 1964,36 units,3.0 L Colombo V12,302 bhp @ 7500 rpm,246 lb/ft @ 5500 rpm,5.4 seconds,174 mph
24,Ferrari 400 Superamerica,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-america/ferrari-400-superamerica/,1959 - 1962,47 units (incl II),4.0 L Colombo V12,340 bhp @ 7000 rpm,235 lb/ft @ 4500 rpm,~9.2 seconds,174 mph
25,Ferrari 400 Superamerica II,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-america/ferrari-400-superamerica/,1962 - 1964,47 units (incl I),4.0 L Colombo V12,340 bhp @ 7000 rpm,235 lb/ft @ 4500 rpm,~9.2 seconds,174 mph
26,Ferrari 275 GTB,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-275/ferrari-275-gtb-ferrari-275/,1964 - 1966,442 units,3.3 L Colombo V12,280 bhp @ 7600 rpm,188 lb/ft @ 5500 rpm,6.7 seconds,145 mph
27,Ferrari 275 GTS,https://www.supercars.net/blog/category/brand/ferrari/ferrari-275-gts,1964 - 1966,200 units,3.3 L Colombo V12,260 bhp @ 7000 rpm,202 lb/ft @ 5000 rpm,7.2 seconds,145 mph
28,Ferrari 330 America,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-330/ferrari-330-america/,1963 -1964,50 units,4.0 L Colombo V12,295 bhp @ 6600 rpm,240 lb/ft @ 5000 rpm,N/A,142 mph
29,Ferrari 330 GT 2+2 I,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-330/ferrari-330-gt-22/,1964 - 1965,1099 (I & II),4.0 L Colombo V12,295 bhp @ 6600 rpm,240 lb/ft @ 5000 rpm,N/A,152 mph
30,Ferrari 500 Superfast,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-america/ferrari-500-superfast/,1964 - 1967,36 units,5.0 L Colombo V12,400 bhp @ 6500 rpm,N/A,N/A,174 mph
